Country,Year
Afghanistan.pdf,2004
Albania.pdf,1998
Algeria.pdf,1963
Andorra.pdf,1993
Angola.pdf,2010
Antigua_and_Barbuda.pdf,1981
Argentina.pdf,1853
Armenia.pdf,1995
Australia.pdf,1901
Austria.pdf,1920
Azerbaijan.pdf,1995
Bahamas.pdf,1973
Bahrain.pdf,2002
Bangladesh.pdf,1972
Barbados.pdf,1966
Belarus.pdf,1994
Belgium.pdf,1831
Belize.pdf,1981
Benin.pdf,1990
Bhutan.pdf,2008
Bolivia.pdf,2009
Bosnia_Herzegovina.pdf,1995
Botswana.pdf,1966
Brazil.pdf,1988
Brunei.pdf,1959
Bulgaria.pdf,1991
Burkina_Faso.pdf,1991
Burundi.pdf,1992
Cambodia.pdf,1993
Cameroon.pdf,1996
Canada.pdf,1867
Cape_Verde.pdf,1980
Central_African_Republic.pdf,2004
Chad.pdf,1996
Chile.pdf,1981
China.pdf,1982
Colombia.pdf,1991
Comoros.pdf,2001
Congo.pdf,2001
Costa_Rica.pdf,1949
Cote_D'Ivoire.pdf,2016
Croatia.pdf,1990
Cuba.pdf,1976
Cyprus.pdf,1960
Czech_Republic.pdf,1992
Democratic_Republic_of_the_Congo.pdf,2006
Denmark.pdf,1849
Djibouti.pdf,1992
Dominican_Republic.pdf,2010
East_Timor.pdf,2002
Ecuador.pdf,2008
Egypt.pdf,2014
El_Salvador.pdf,1983
Equatorial_Guinea.pdf,1991
Eritrea.pdf,1997
Estonia.pdf,1992
Ethiopia.pdf,1995
Fiji.pdf,2013
Finland.pdf,2000
France.pdf,1958
Gabon.pdf,1991
Gambia.pdf,1997
Georgia.pdf,1995
German_Federal_Republic.pdf,1949
Ghana.pdf,1992
Greece.pdf,1975
Grenada.pdf,1991
Guatemala.pdf,1986
Guinea-Bissau.pdf,1984
Guinea.pdf,2010
Guyana.pdf,1980
Haiti.pdf,2012
Honduras.pdf,1982
Hungary.pdf,2011
Iceland.pdf,1944
India.pdf,1950
Indonesia.pdf,1945
Iran.pdf,1979
Iraq.pdf,2005
Ireland.pdf,1937
Israel.pdf,1958
Italy.pdf,1947
Jamaica.pdf,1962
Japan.pdf,1947
Jordan.pdf,1952
Kazakhstan.pdf,1995
Kenya.pdf,2010
Kiribati.pdf,1979
Kosovo.pdf,2008
Kuwait.pdf,1962
Kyrgyz_Republic.pdf,2010
Laos.pdf,1991
Latvia.pdf,1922
Lebanon.pdf,1926
Lesotho.pdf,1993
Liberia.pdf,1986
Libya.pdf,2011
Liechtenstein.pdf,1921
Lithuania.pdf,1992
Luxembourg.pdf,1868
Macedonia.pdf,1991
Madagascar.pdf,2010
Malawi.pdf,1994
Malaysia.pdf,1957
Maldives.pdf,2008
Mali.pdf,1992
Malta.pdf,1964
Marshall_Islands.pdf,1979
Mauritania.pdf,1991
Mauritius.pdf,1968
Mexico.pdf,1917
Micronesia.pdf,1978
Moldova.pdf,1994
Monaco.pdf,1962
Mongolia.pdf,1992
Montenegro.pdf,2007
Morocco.pdf,1962
Mozambique.pdf,2004
Myanmar.pdf,2008
Namibia.pdf,1990
Nauru.pdf,1968
Nepal.pdf,2015
Netherlands.pdf,1815
New_Zealand.pdf,1852
Nicaragua.pdf,1987
Niger.pdf,2010
Nigeria.pdf,1999
North_Korea.pdf,1972
Norway.pdf,1814
Oman.pdf,1996
Pakistan.pdf,1973
Palau.pdf,1981
Panama.pdf,1972
Papua_New_Guinea.pdf,1975
Paraguay.pdf,1992
Peru.pdf,1993
Philippines.pdf,1987
Poland.pdf,1997
Portugal.pdf,1976
Qatar.pdf,2003
Romania.pdf,1991
Russia.pdf,1993
Rwanda.pdf,2003
Samoa.pdf,1960
Sao_Tome_And_Principe.pdf,1975
Saudi_Arabia.pdf,1992
Senegal.pdf,2001
Serbia.pdf,2006
Seychelles.pdf,1993
Sierra_Leone.pdf,1996
Singapore.pdf,1965
Slovakia.pdf,1992
Slovenia.pdf,1991
Solomon_Islands.pdf,1978
Somalia.pdf,2012
South_Africa.pdf,1997
South_Korea.pdf,1948
South_Sudan.pdf,2011
Spain.pdf,1978
Sri_Lanka.pdf,1978
St._Kitts_and_Nevis.pdf,1983
St._Lucia.pdf,1978
St._Vincent_and_the_Grenadines.pdf,1979
Sudan.pdf,2005
Surinam.pdf,1987
Swaziland.pdf,2005
Sweden.pdf,1974
Switzerland.pdf,1999
Syria.pdf,2012
Taiwan.pdf,1947
Tajikistan.pdf,1994
Tanzania.pdf,1977
Thailand.pdf,2017
The_EU.pdf,2005
Togo.pdf,1992
Trinidad_and_Tobago.pdf,1976
Tunisia.pdf,2014
Turkey.pdf,1982
Turkmenistan.pdf,1992
Tuvalu.pdf,1986
Uganda.pdf,1995
Ukraine.pdf,1996
United_Arab_Emirates.pdf,1971
United_States_of_America.pdf,1788
Uruguay.pdf,1967
Uzbekistan.pdf,1992
Vanuatu.pdf,1980
Venezuela.pdf,1999
Vietnam.pdf,2013
Yemen.pdf,1991
Zambia.pdf,1991
Zimbabwe.pdf,2013
